frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.len,label
4.943137,10.0.0.3,10.0.0.1,10358,80,0x0002,54,1
10.125645,10.0.0.2,10.0.0.1,33010,80,0x0018,138,0
3.570456,10.0.0.3,10.0.0.1,35930,80,0x0002,54,1
9.165673,10.0.0.1,10.0.0.2,80,32834,0x0011,66,0
16.759878,10.0.0.2,10.0.0.1,51926,80,0x0002,74,0
10.376173,10.0.0.1,10.0.0.2,80,33072,0x0018,1640,0
1.636055,10.0.0.1,10.0.0.3,80,52841,0x0014,54,1
3.945637,10.0.0.1,10.0.0.3,80,49085,0x0014,54,1
2.784309,10.0.0.1,10.0.0.3,80,16976,0x0014,54,1
14.833352,10.0.0.2,10.0.0.1,34228,80,0x0018,138,0
2.462532,10.0.0.3,10.0.0.1,9045,80,0x0002,54,1
9.522659,10.0.0.1,10.0.0.2,80,32874,0x0010,66,0
2.267968,10.0.0.1,10.0.0.3,80,4016,0x0014,54,1
10.295704,10.0.0.1,10.0.0.2,80,33044,0x0010,66,0
15.84557,10.0.0.1,10.0.0.2,80,51702,0x0018,223,0
4.169736,10.0.0.1,10.0.0.3,80,53717,0x0014,54,1
11.365014,10.0.0.1,10.0.0.2,80,33320,0x0018,1640,0
2.887647,10.0.0.1,10.0.0.3,80,19527,0x0014,54,1
4.751983,10.0.0.1,10.0.0.3,80,3163,0x0014,54,1
2.125062,10.0.0.1,10.0.0.3,80,284,0x0014,54,1
0.051565,10.0.0.1,10.0.0.2,80,38066,0x0018,1640,0
5.036667,10.0.0.1,10.0.0.2,80,39362,0x0018,223,0
3.59977,10.0.0.1,10.0.0.3,80,36755,0x0014,54,1
2.526741,10.0.0.3,10.0.0.1,10330,80,0x0002,54,1
3.619064,10.0.0.3,10.0.0.1,37478,80,0x0002,54,1
1.761919,10.0.0.1,10.0.0.2,80,38480,0x0010,66,0
11.801729,10.0.0.1,10.0.0.2,80,33428,0x0010,66,0
1.82402,10.0.0.1,10.0.0.3,80,58261,0x0014,54,1
14.453255,10.0.0.2,10.0.0.1,34138,80,0x0018,138,0
1.338238,10.0.0.2,10.0.0.1,38394,80,0x0011,66,0
0.096456,10.0.0.1,10.0.0.3,80,4902,0x0014,54,1
17.104539,10.0.0.2,10.0.0.1,52014,80,0x0002,74,0
4.17141,10.0.0.1,10.0.0.3,80,53768,0x0014,54,1
2.270973,10.0.0.1,10.0.0.2,80,38632,0x0010,66,0
3.113817,10.0.0.3,10.0.0.1,24867,80,0x0002,54,1
1.529986,10.0.0.2,10.0.0.1,38424,80,0x0010,66,0
12.398056,10.0.0.1,10.0.0.2,80,33596,0x0010,66,0
10.830877,10.0.0.1,10.0.0.2,80,33188,0x0010,66,0
2.349246,10.0.0.3,10.0.0.1,6145,80,0x0002,54,1
3.164452,10.0.0.1,10.0.0.3,80,25692,0x0014,54,1
5.180026,10.0.0.3,10.0.0.1,18913,80,0x0002,54,1
2.144206,10.0.0.3,10.0.0.1,772,80,0x0002,54,1
4.990247,10.0.0.1,10.0.0.3,80,12145,0x0014,54,1
3.864507,10.0.0.3,10.0.0.1,46843,80,0x0002,54,1
13.992194,10.0.0.2,10.0.0.1,34038,80,0x0002,74,0
13.861885,10.0.0.2,10.0.0.1,33990,80,0x0010,66,0
2.849492,10.0.0.1,10.0.0.2,80,38810,0x0010,1514,0
0.335435,10.0.0.1,10.0.0.2,80,38112,0x0018,223,0
0.51776,10.0.0.1,10.0.0.3,80,16441,0x0014,54,1
14.106971,10.0.0.1,10.0.0.2,80,34064,0x0018,1640,0
16.084723,10.0.0.1,10.0.0.2,80,51754,0x0018,223,0
12.263015,10.0.0.1,10.0.0.2,80,33556,0x0018,223,0
10.041721,10.0.0.1,10.0.0.2,80,32982,0x0012,74,0
1.859072,10.0.0.1,10.0.0.3,80,59582,0x0014,54,1
3.167562,10.0.0.3,10.0.0.1,25765,80,0x0002,54,1
14.555903,10.0.0.1,10.0.0.2,80,34162,0x0018,223,0
4.603492,10.0.0.3,10.0.0.1,64513,80,0x0002,54,1
3.018148,10.0.0.2,10.0.0.1,38872,80,0x0002,74,0
1.485542,10.0.0.1,10.0.0.3,80,49347,0x0014,54,1
0.332765,10.0.0.2,10.0.0.1,38112,80,0x0018,138,0
16.248841,10.0.0.1,10.0.0.2,80,51794,0x0010,66,0
0.826283,10.0.0.3,10.0.0.1,26194,80,0x0002,54,1
3.471214,10.0.0.1,10.0.0.3,80,33653,0x0014,54,1
1.470333,10.0.0.3,10.0.0.1,48985,80,0x0002,54,1
5.665106,10.0.0.2,10.0.0.1,60156,80,0x0002,74,0
1.13643,10.0.0.1,10.0.0.3,80,36637,0x0014,54,1
12.687307,10.0.0.1,10.0.0.2,80,33654,0x0012,74,0
10.597064,10.0.0.2,10.0.0.1,33128,80,0x0018,138,0
9.553619,10.0.0.2,10.0.0.1,32888,80,0x0010,66,0
13.226856,10.0.0.2,10.0.0.1,33808,80,0x0018,138,0
15.360158,10.0.0.1,10.0.0.2,80,51606,0x0018,223,0
4.893957,10.0.0.1,10.0.0.2,80,39336,0x0010,66,0
7.968463,10.0.0.2,10.0.0.1,60770,80,0x0018,138,0
5.019542,10.0.0.3,10.0.0.1,13264,80,0x0002,54,1
1.307382,10.0.0.1,10.0.0.3,80,42594,0x0014,54,1
8.727845,10.0.0.1,10.0.0.2,80,60964,0x0012,74,0
7.934729,10.0.0.1,10.0.0.2,80,60754,0x0012,74,0
13.1472,10.0.0.1,10.0.0.2,80,33784,0x0010,66,0
5.216644,10.0.0.3,10.0.0.1,20175,80,0x0002,54,1
10.800035,10.0.0.1,10.0.0.2,80,33182,0x0010,1514,0
8.407327,10.0.0.1,10.0.0.2,80,60888,0x0011,66,0
0.379684,10.0.0.1,10.0.0.2,80,38116,0x0010,66,0
14.068334,10.0.0.1,10.0.0.2,80,34052,0x0018,1640,0
1.971286,10.0.0.3,10.0.0.1,62625,80,0x0002,54,1
5.028443,10.0.0.2,10.0.0.1,39362,80,0x0002,74,0
4.091392,10.0.0.1,10.0.0.3,80,52024,0x0014,54,1
2.035343,10.0.0.3,10.0.0.1,63992,80,0x0002,54,1
4.972432,10.0.0.2,10.0.0.1,39348,80,0x0010,66,0
4.377145,10.0.0.3,10.0.0.1,59104,80,0x0002,54,1
5.389491,10.0.0.1,10.0.0.2,80,60070,0x0011,66,0
2.95172,10.0.0.1,10.0.0.3,80,21193,0x0014,54,1
2.02684,10.0.0.1,10.0.0.2,80,38564,0x0010,66,0
14.185468,10.0.0.1,10.0.0.2,80,34076,0x0018,223,0
12.54475,10.0.0.2,10.0.0.1,33628,80,0x0010,66,0
1.689552,10.0.0.1,10.0.0.3,80,54143,0x0014,54,1
12.881905,10.0.0.1,10.0.0.2,80,33718,0x0018,223,0
9.314448,10.0.0.1,10.0.0.2,80,32848,0x0018,1640,0
1.423198,10.0.0.1,10.0.0.3,80,47127,0x0014,54,1
2.110278,10.0.0.1,10.0.0.3,80,65450,0x0014,54,1
0.635646,10.0.0.1,10.0.0.3,80,19244,0x0014,54,1
4.609544,10.0.0.1,10.0.0.3,80,64698,0x0014,54,1
0.862461,10.0.0.1,10.0.0.3,80,27480,0x0014,54,1
3.715986,10.0.0.3,10.0.0.1,41228,80,0x0002,54,1
4.574487,10.0.0.1,10.0.0.3,80,63854,0x0014,54,1
14.512826,10.0.0.2,10.0.0.1,34154,80,0x0002,74,0
3.660047,10.0.0.3,10.0.0.1,39071,80,0x0002,54,1
1.192606,10.0.0.1,10.0.0.2,80,38340,0x0019,192,0
0.20334,10.0.0.3,10.0.0.1,8309,80,0x0002,54,1
11.876187,10.0.0.2,10.0.0.1,33454,80,0x0010,66,0
4.398124,10.0.0.3,10.0.0.1,59651,80,0x0002,54,1
14.828293,10.0.0.2,10.0.0.1,34228,80,0x0002,74,0
3.534588,10.0.0.3,10.0.0.1,34970,80,0x0002,54,1
17.055595,10.0.0.2,10.0.0.1,52006,80,0x0011,66,0
0.191338,10.0.0.1,10.0.0.3,80,8004,0x0014,54,1
7.304552,10.0.0.2,10.0.0.1,60552,80,0x0010,66,0
3.492692,10.0.0.3,10.0.0.1,34119,80,0x0002,54,1
12.087235,10.0.0.2,10.0.0.1,33524,80,0x0011,66,0
15.26315,10.0.0.1,10.0.0.2,80,51566,0x0010,66,0
2.365369,10.0.0.3,10.0.0.1,6593,80,0x0002,54,1
0.4755,10.0.0.1,10.0.0.3,80,15688,0x0014,54,1
3.356967,10.0.0.3,10.0.0.1,30579,80,0x0002,54,1
4.154982,10.0.0.2,10.0.0.1,39142,80,0x0011,66,0
7.306707,10.0.0.2,10.0.0.1,60552,80,0x0011,66,0
4.600747,10.0.0.3,10.0.0.1,64434,80,0x0002,54,1
5.377697,10.0.0.1,10.0.0.3,80,26534,0x0014,54,1
12.470871,10.0.0.1,10.0.0.2,80,33612,0x0018,223,0
13.900577,10.0.0.1,10.0.0.2,80,34004,0x0018,192,0
4.279988,10.0.0.3,10.0.0.1,56545,80,0x0002,54,1
3.672448,10.0.0.1,10.0.0.3,80,39554,0x0014,54,1
13.637305,10.0.0.1,10.0.0.2,80,33912,0x0018,223,0
4.781144,10.0.0.3,10.0.0.1,4330,80,0x0002,54,1
3.901016,10.0.0.1,10.0.0.3,80,48248,0x0014,54,1
4.870231,10.0.0.1,10.0.0.3,80,7610,0x0014,54,1
0.222304,10.0.0.1,10.0.0.3,80,8799,0x0014,54,1
12.313603,10.0.0.2,10.0.0.1,33570,80,0x0010,66,0
15.389415,10.0.0.2,10.0.0.1,51618,80,0x0018,138,0
14.313456,10.0.0.2,10.0.0.1,34094,80,0x0018,138,0
1.823348,10.0.0.3,10.0.0.1,58235,80,0x0002,54,1
0.635238,10.0.0.2,10.0.0.1,38186,80,0x0010,66,0
0.988179,10.0.0.1,10.0.0.2,80,38272,0x0010,66,0
0.142509,10.0.0.3,10.0.0.1,6624,80,0x0002,54,1
2.045809,10.0.0.1,10.0.0.3,80,64226,0x0014,54,1
0.970599,10.0.0.3,10.0.0.1,31304,80,0x0002,54,1
8.23973,10.0.0.2,10.0.0.1,60832,80,0x0010,66,0
9.803907,10.0.0.2,10.0.0.1,32942,80,0x0010,66,0
1.779049,10.0.0.3,10.0.0.1,56605,80,0x0002,54,1
0.122966,10.0.0.3,10.0.0.1,5911,80,0x0002,54,1
3.765826,10.0.0.3,10.0.0.1,43152,80,0x0002,54,1
10.834245,10.0.0.1,10.0.0.2,80,33188,0x0010,66,0
12.264474,10.0.0.1,10.0.0.2,80,33556,0x0018,1640,0
15.591212,10.0.0.1,10.0.0.2,80,51652,0x0010,66,0
0.983497,10.0.0.1,10.0.0.3,80,31839,0x0014,54,1
9.842873,10.0.0.2,10.0.0.1,32948,80,0x0010,66,0
0.577969,10.0.0.1,10.0.0.3,80,17821,0x0014,54,1
15.493245,10.0.0.1,10.0.0.2,80,51638,0x0010,1514,0
2.963567,10.0.0.3,10.0.0.1,21509,80,0x0002,54,1
7.066376,10.0.0.1,10.0.0.2,80,60494,0x0018,1640,0
0.651866,10.0.0.3,10.0.0.1,19883,80,0x0002,54,1
0.142147,10.0.0.2,10.0.0.1,38076,80,0x0010,66,0
4.474094,10.0.0.3,10.0.0.1,61732,80,0x0002,54,1
1.037342,10.0.0.1,10.0.0.3,80,33836,0x0014,54,1
3.118622,10.0.0.1,10.0.0.3,80,24928,0x0014,54,1
3.348433,10.0.0.2,10.0.0.1,38964,80,0x0018,138,0
4.850794,10.0.0.3,10.0.0.1,6844,80,0x0002,54,1
16.794408,10.0.0.1,10.0.0.2,80,51928,0x0010,66,0
5.107344,10.0.0.1,10.0.0.2,80,39388,0x0018,223,0
4.9195,10.0.0.1,10.0.0.3,80,9508,0x0014,54,1
3.467417,10.0.0.3,10.0.0.1,33555,80,0x0002,54,1
3.912107,10.0.0.1,10.0.0.3,80,48421,0x0014,54,1
13.330988,10.0.0.1,10.0.0.2,80,33824,0x0011,66,0
2.814258,10.0.0.2,10.0.0.1,38808,80,0x0010,66,0
4.95118,10.0.0.1,10.0.0.3,80,10648,0x0014,54,1
6.008199,10.0.0.2,10.0.0.1,60240,80,0x0011,66,0
0.822317,10.0.0.1,10.0.0.2,80,38228,0x0018,223,0
2.267502,10.0.0.1,10.0.0.3,80,3996,0x0014,54,1
11.56965,10.0.0.1,10.0.0.2,80,33384,0x0011,66,0
1.202547,10.0.0.3,10.0.0.1,38864,80,0x0002,54,1
4.077623,10.0.0.1,10.0.0.3,80,51833,0x0014,54,1
8.675571,10.0.0.1,10.0.0.2,80,60938,0x0018,1640,0
4.728727,10.0.0.1,10.0.0.3,80,2254,0x0014,54,1
2.84783,10.0.0.2,10.0.0.1,38810,80,0x0018,138,0
10.99043,10.0.0.2,10.0.0.1,33218,80,0x0010,66,0
16.711488,10.0.0.2,10.0.0.1,51920,80,0x0010,66,0
15.799397,10.0.0.2,10.0.0.1,51700,80,0x0002,74,0
15.522913,10.0.0.2,10.0.0.1,51642,80,0x0018,138,0
1.601574,10.0.0.1,10.0.0.3,80,51959,0x0014,54,1
5.783104,10.0.0.2,10.0.0.1,60178,80,0x0010,66,0
5.054121,10.0.0.1,10.0.0.3,80,14492,0x0014,54,1
4.821803,10.0.0.1,10.0.0.3,80,5704,0x0014,54,1
4.8125,10.0.0.1,10.0.0.3,80,5430,0x0014,54,1
2.501218,10.0.0.1,10.0.0.3,80,9761,0x0014,54,1
7.263369,10.0.0.1,10.0.0.2,80,60536,0x0012,74,0
5.274738,10.0.0.1,10.0.0.3,80,22435,0x0014,54,1
10.333679,10.0.0.2,10.0.0.1,33056,80,0x0010,66,0
3.054697,10.0.0.1,10.0.0.2,80,38882,0x0010,1514,0
4.843067,10.0.0.3,10.0.0.1,6522,80,0x0002,54,1
4.186815,10.0.0.2,10.0.0.1,39152,80,0x0011,66,0
7.29478,10.0.0.1,10.0.0.2,80,60552,0x0012,74,0
5.323096,10.0.0.3,10.0.0.1,24393,80,0x0002,54,1
5.075304,10.0.0.1,10.0.0.2,80,39374,0x0010,1514,0
0.884652,10.0.0.3,10.0.0.1,28254,80,0x0002,54,1
4.71474,10.0.0.3,10.0.0.1,1819,80,0x0002,54,1
1.183407,10.0.0.3,10.0.0.1,38383,80,0x0002,54,1
3.07383,10.0.0.3,10.0.0.1,24006,80,0x0002,54,1
7.898161,10.0.0.2,10.0.0.1,60746,80,0x0002,74,0
15.235334,10.0.0.1,10.0.0.2,80,51562,0x0018,223,0
1.222159,10.0.0.2,10.0.0.1,38348,80,0x0010,66,0
3.524712,10.0.0.3,10.0.0.1,34774,80,0x0002,54,1
3.919695,10.0.0.1,10.0.0.3,80,48607,0x0014,54,1
6.652855,10.0.0.2,10.0.0.1,60382,80,0x0011,66,0
1.954834,10.0.0.1,10.0.0.3,80,62229,0x0014,54,1
1.659455,10.0.0.2,10.0.0.1,38448,80,0x0018,138,0
3.744445,10.0.0.2,10.0.0.1,39058,80,0x0018,138,0
8.481484,10.0.0.1,10.0.0.2,80,60906,0x0018,223,0
6.004102,10.0.0.1,10.0.0.2,80,60240,0x0010,66,0
0.30871,10.0.0.3,10.0.0.1,11126,80,0x0002,54,1
5.108888,10.0.0.1,10.0.0.3,80,16467,0x0014,54,1
2.43422,10.0.0.2,10.0.0.1,38690,80,0x0010,66,0
0.804494,10.0.0.1,10.0.0.3,80,25356,0x0014,54,1
0.497222,10.0.0.1,10.0.0.3,80,16071,0x0014,54,1
0.033098,10.0.0.2,10.0.0.1,38066,80,0x0010,66,0
1.802758,10.0.0.1,10.0.0.3,80,57430,0x0014,54,1
1.531152,10.0.0.3,10.0.0.1,50181,80,0x0002,54,1
5.253419,10.0.0.3,10.0.0.1,21563,80,0x0002,54,1
10.483527,10.0.0.2,10.0.0.1,33096,80,0x0010,66,0
11.674499,10.0.0.2,10.0.0.1,33398,80,0x0018,138,0
4.834977,10.0.0.1,10.0.0.3,80,6255,0x0014,54,1
10.741369,10.0.0.1,10.0.0.2,80,33156,0x0010,1514,0
3.497524,10.0.0.3,10.0.0.1,34196,80,0x0002,54,1
5.245685,10.0.0.1,10.0.0.3,80,21258,0x0014,54,1
17.050657,10.0.0.1,10.0.0.2,80,52006,0x0010,66,0
5.172269,10.0.0.3,10.0.0.1,18595,80,0x0002,54,1
4.469122,10.0.0.1,10.0.0.3,80,61616,0x0014,54,1
5.190496,10.0.0.1,10.0.0.3,80,19198,0x0014,54,1
7.16287,10.0.0.2,10.0.0.1,60506,80,0x0010,66,0
0.988139,10.0.0.1,10.0.0.3,80,31942,0x0014,54,1
3.162673,10.0.0.1,10.0.0.3,80,25664,0x0014,54,1
2.824105,10.0.0.1,10.0.0.3,80,17905,0x0014,54,1
3.522493,10.0.0.1,10.0.0.3,80,34719,0x0014,54,1
1.095625,10.0.0.1,10.0.0.3,80,35640,0x0014,54,1
8.915731,10.0.0.2,10.0.0.1,60990,80,0x0018,138,0
2.224514,10.0.0.1,10.0.0.3,80,2795,0x0014,54,1
0.846021,10.0.0.3,10.0.0.1,26928,80,0x0002,54,1
8.740926,10.0.0.2,10.0.0.1,60964,80,0x0010,66,0
0.156685,10.0.0.3,10.0.0.1,7108,80,0x0002,54,1
2.938248,10.0.0.3,10.0.0.1,20829,80,0x0002,54,1
3.074141,10.0.0.1,10.0.0.3,80,24019,0x0014,54,1
4.531077,10.0.0.3,10.0.0.1,62873,80,0x0002,54,1
14.763336,10.0.0.2,10.0.0.1,34210,80,0x0002,74,0
10.258306,10.0.0.2,10.0.0.1,33042,80,0x0010,66,0
0.583574,10.0.0.3,10.0.0.1,17955,80,0x0002,54,1
4.089001,10.0.0.3,10.0.0.1,52005,80,0x0002,54,1
7.90393,10.0.0.1,10.0.0.2,80,60746,0x0010,66,0
6.605302,10.0.0.1,10.0.0.2,80,60380,0x0012,74,0
7.388669,10.0.0.2,10.0.0.1,60584,80,0x0002,74,0
5.092308,10.0.0.3,10.0.0.1,15950,80,0x0002,54,1
10.376401,10.0.0.2,10.0.0.1,33072,80,0x0011,66,0
1.463095,10.0.0.3,10.0.0.1,48698,80,0x0002,54,1
13.672065,10.0.0.1,10.0.0.2,80,33924,0x0018,223,0
10.516112,10.0.0.1,10.0.0.2,80,33106,0x0010,66,0
0.13333,10.0.0.1,10.0.0.3,80,6320,0x0014,54,1
3.670569,10.0.0.2,10.0.0.1,39044,80,0x0010,66,0
0.17556,10.0.0.2,10.0.0.1,38078,80,0x0010,66,0
3.890917,10.0.0.1,10.0.0.3,80,47863,0x0014,54,1
2.524534,10.0.0.1,10.0.0.3,80,10289,0x0014,54,1
4.097468,10.0.0.1,10.0.0.2,80,39126,0x0018,223,0
0.614281,10.0.0.3,10.0.0.1,18654,80,0x0002,54,1
4.100953,10.0.0.1,10.0.0.2,80,39126,0x0010,66,0
0.299522,10.0.0.1,10.0.0.2,80,38102,0x0010,66,0
5.281044,10.0.0.1,10.0.0.3,80,22695,0x0014,54,1
17.050003,10.0.0.2,10.0.0.1,52006,80,0x0002,74,0
4.895539,10.0.0.1,10.0.0.2,80,39336,0x0018,223,0
11.000225,10.0.0.1,10.0.0.2,80,33218,0x0018,1640,0
5.116781,10.0.0.3,10.0.0.1,16717,80,0x0002,54,1
8.673029,10.0.0.1,10.0.0.2,80,60938,0x0010,66,0
9.193122,10.0.0.1,10.0.0.2,80,32840,0x0010,66,0
4.627322,10.0.0.3,10.0.0.1,65152,80,0x0002,54,1
2.717323,10.0.0.3,10.0.0.1,15154,80,0x0002,54,1
3.734909,10.0.0.3,10.0.0.1,41973,80,0x0002,54,1
2.288723,10.0.0.3,10.0.0.1,4619,80,0x0002,54,1
3.346576,10.0.0.1,10.0.0.3,80,30304,0x0014,54,1
6.572733,10.0.0.2,10.0.0.1,60376,80,0x0010,66,0
15.203691,10.0.0.1,10.0.0.2,80,34330,0x0010,1514,0
0.676477,10.0.0.1,10.0.0.2,80,38200,0x0011,66,0
1.428047,10.0.0.3,10.0.0.1,47330,80,0x0002,54,1
0.061359,10.0.0.3,10.0.0.1,3742,80,0x0002,54,1
12.769249,10.0.0.2,10.0.0.1,33686,80,0x0010,66,0
4.375327,10.0.0.1,10.0.0.3,80,59053,0x0014,54,1
4.342213,10.0.0.3,10.0.0.1,58148,80,0x0002,54,1
7.358949,10.0.0.1,10.0.0.2,80,60578,0x0011,66,0
0.684315,10.0.0.3,10.0.0.1,21148,80,0x0002,54,1
11.364666,10.0.0.2,10.0.0.1,33320,80,0x0010,66,0
5.148587,10.0.0.1,10.0.0.3,80,17835,0x0014,54,1
14.929592,10.0.0.2,10.0.0.1,34262,80,0x0018,138,0
14.343401,10.0.0.2,10.0.0.1,34108,80,0x0018,138,0
1.480246,10.0.0.1,10.0.0.2,80,38420,0x0012,74,0
9.350772,10.0.0.2,10.0.0.1,32852,80,0x0002,74,0
2.642311,10.0.0.1,10.0.0.3,80,13223,0x0014,54,1
5.247157,10.0.0.1,10.0.0.3,80,21322,0x0014,54,1
3.961942,10.0.0.3,10.0.0.1,49484,80,0x0002,54,1
1.314571,10.0.0.1,10.0.0.3,80,42849,0x0014,54,1
4.855285,10.0.0.1,10.0.0.3,80,7029,0x0014,54,1
6.865728,10.0.0.2,10.0.0.1,60420,80,0x0010,66,0
4.208522,10.0.0.2,10.0.0.1,39164,80,0x0002,74,0
0.760493,10.0.0.1,10.0.0.3,80,23974,0x0014,54,1
2.83125,10.0.0.3,10.0.0.1,18128,80,0x0002,54,1
